scores,mean_scores,record
5,6.711920529801325,49
7,6.712871287128713,49
11,6.7269736842105265,49
29,6.8,49
4,6.790849673202614,49
23,6.843648208469055,49
4,6.834415584415584,49
12,6.851132686084142,49
8,6.854838709677419,49
8,6.858520900321543,49
41,6.967948717948718,49
15,6.993610223642173,49
15,7.019108280254777,49
44,7.136507936507937,49
39,7.237341772151899,49
17,7.26813880126183,49
22,7.314465408805032,49
21,7.3573667711598745,49
35,7.44375,49
13,7.461059190031152,49
9,7.46583850931677,49
33,7.544891640866873,49
8,7.546296296296297,49
12,7.56,49
20,7.598159509202454,49
14,7.617737003058104,49
49,7.7439024390243905,49
30,7.811550151975684,49
21,7.851515151515152,49
4,7.83987915407855,49
24,7.88855421686747,49
13,7.903903903903904,49
6,7.8982035928143715,49
25,7.949253731343283,49
20,7.9851190476190474,49
3,7.970326409495549,49
8,7.970414201183432,49
11,7.979351032448378,49
21,8.01764705882353,49
20,8.052785923753666,49
25,8.102339181286549,49
13,8.11661807580175,49
18,8.145348837209303,49
40,8.23768115942029,49
33,8.309248554913294,49
16,8.331412103746398,49
5,8.32183908045977,49
27,8.375358166189113,49
14,8.391428571428571,49
28,8.447293447293447,49
30,8.508522727272727,49
19,8.538243626062323,49
21,8.573446327683616,49
5,8.56338028169014,49
29,8.620786516853933,49
15,8.638655462184873,49
11,8.645251396648044,49
11,8.651810584958218,49
20,8.683333333333334,49
46,8.786703601108034,49
34,8.856353591160222,49
23,8.895316804407713,49
7,8.89010989010989,49
16,8.90958904109589,49
20,8.939890710382514,49
32,9.002724795640328,49
28,9.054347826086957,49
20,9.084010840108402,49
24,9.124324324324323,49
13,9.134770889487871,49
35,9.204301075268818,49
25,9.246648793565683,49
30,9.302139037433156,49
11,9.306666666666667,49
15,9.321808510638299,49
11,9.326259946949602,49
26,9.37037037037037,49
15,9.385224274406333,49
21,9.41578947368421,49
6,9.406824146981627,49
1,9.384816753926701,49
10,9.386422976501306,49
13,9.395833333333334,49
18,9.418181818181818,49
6,9.409326424870466,49
19,9.434108527131784,49
22,9.466494845360824,49
17,9.48586118251928,49
2,9.466666666666667,49
13,9.475703324808185,49
18,9.497448979591837,49
23,9.531806615776082,49
15,9.545685279187817,49
23,9.579746835443038,49
15,9.593434343434344,49
16,9.6095717884131,49
17,9.628140703517587,49
6,9.619047619047619,49
15,9.6325,49
8,9.628428927680797,49
2,9.609452736318408,49
8,9.605459057071961,49
38,9.675742574257425,49
22,9.706172839506173,49
2,9.687192118226601,49
18,9.707616707616708,49
2,9.688725490196079,49
7,9.682151589242054,49
12,9.68780487804878,49
23,9.720194647201946,49
9,9.718446601941748,49
4,9.704600484261501,49
23,9.73671497584541,49
24,9.771084337349398,49
2,9.752403846153847,49
19,9.774580335731414,49
23,9.80622009569378,49
24,9.840095465393794,49
7,9.833333333333334,49
11,9.836104513064132,49
33,9.890995260663507,49
19,9.912529550827424,49
21,9.93867924528302,49
20,9.962352941176471,49
8,9.95774647887324,49
13,9.964871194379391,49
14,9.97429906542056,49
14,9.983682983682984,49
11,9.986046511627906,49
10,9.986078886310905,49
12,9.99074074074074,49
25,10.02540415704388,49
16,10.039170506912443,49
7,10.032183908045978,49
15,10.043577981651376,49
11,10.045766590389016,49
9,10.04337899543379,49
7,10.036446469248292,49
2,10.018181818181818,49
23,10.047619047619047,49
15,10.058823529411764,49
1,10.038374717832957,49
28,10.07882882882883,49
21,10.103370786516853,49
17,10.11883408071749,49
8,10.114093959731544,49
29,10.15625,49
10,10.155902004454344,49
6,10.146666666666667,49
3,10.130820399113082,49
17,10.146017699115044,49
9,10.143487858719647,49
8,10.138766519823788,49
24,10.169230769230769,49
24,10.199561403508772,49
13,10.205689277899344,49
20,10.22707423580786,49
40,10.291938997821351,49
9,10.289130434782608,49
34,10.34056399132321,49
33,10.38961038961039,49
18,10.406047516198704,49
28,10.443965517241379,49
14,10.451612903225806,49
8,10.446351931330472,49
14,10.453961456102784,49
18,10.47008547008547,49
8,10.464818763326226,49
39,10.525531914893618,49
2,10.507430997876858,49
17,10.521186440677965,49
6,10.511627906976743,49
8,10.50632911392405,49
26,10.538947368421052,49
17,10.552521008403362,49
27,10.58700209643606,49
10,10.585774058577407,49
29,10.624217118997912,49
1,10.604166666666666,49
13,10.609147609147609,49
25,10.639004149377593,49
14,10.645962732919255,49
16,10.65702479338843,49
20,10.676288659793814,49
7,10.668724279835391,49
9,10.6652977412731,49
11,10.665983606557377,49
13,10.67075664621677,49
12,10.673469387755102,49
6,10.663951120162933,49
23,10.689024390243903,49
29,10.726166328600407,49
19,10.742914979757085,49
3,10.727272727272727,49
42,10.790322580645162,49
8,10.784708249496981,49
5,10.773092369477911,49
6,10.763527054108216,49
24,10.79,49
